               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11545,            0.033734,                   0,           0.0011111,             0.33333,           0.0016001,          0.00054742,             0.12199,            0.025293,                   0,              0.0928,              0.0008,              0.0008
                   1,             0.09821,            0.032767,                   0,           0.0022222,             0.66667,            0.031326,           0.0087626,            0.098683,            0.021257,                   0,            0.084666,           0.0016663,           0.0016663
                   2,            0.090631,            0.028582,                   0,           0.0022222,             0.66667,           0.0027569,           0.0012651,            0.077804,             0.01993,                   0,            0.076497,            0.002497,            0.002497
                   3,            0.080642,            0.029853,                   0,           0.0033333,                   1,            0.011429,           0.0036761,            0.090006,            0.017599,                   0,            0.068292,           0.0032921,           0.0032921
                   4,            0.073782,            0.024448,                   0,             0.14419,             0.33333,             0.13487,             0.10153,            0.069789,            0.015911,                   0,            0.060052,           0.0040515,           0.0040515
                   5,            0.069823,            0.021772,                   0,            0.019662,             0.33333,            0.023701,           0.0057224,            0.065579,            0.018279,                   0,            0.051775,           0.0047753,           0.0047753
                   6,            0.067812,            0.022528,                   0,             0.56812,             0.33333,             0.36207,             0.11079,            0.067364,            0.014684,                   0,            0.043463,           0.0054634,           0.0054634
                   7,            0.065939,            0.020768,                   0,             0.37151,             0.66667,              0.4315,             0.12541,            0.065218,            0.014104,                   0,            0.035116,           0.0061159,           0.0061159
                   8,            0.064419,            0.018921,                   0,             0.29702,                   1,               0.577,             0.19049,            0.058551,            0.011532,                   0,            0.026733,           0.0067328,           0.0067328
                   9,            0.063475,            0.018944,                   0,             0.37554,             0.66667,             0.59075,             0.14572,            0.065532,            0.011754,                   0,            0.018314,            0.007314,            0.007314
                  10,            0.065275,            0.017725,                   0,             0.59943,             0.66667,             0.46101,             0.11116,            0.069822,            0.010004,                   0,           0.0098596,           0.0078596,           0.0078596
                  11,            0.062122,            0.017479,                   0,             0.24181,             0.66667,             0.18039,            0.061798,            0.074303,             0.01308,                   0,            0.007822,            0.007822,            0.007822
                  12,            0.062979,            0.016364,                   0,             0.23883,             0.33333,             0.15628,            0.095259,            0.068134,            0.011846,                   0,            0.007822,            0.007822,            0.007822
